Date;case
02/03/2020;2
03/03/2020;2
04/03/2020;2
05/03/2020;2
06/03/2020;4
07/03/2020;4
08/03/2020;6
09/03/2020;19
10/03/2020;27
11/03/2020;34
12/03/2020;34
13/03/2020;69
14/03/2020;96
15/03/2020;117
16/03/2020;134
17/03/2020;172
18/03/2020;227
19/03/2020;309
20/03/2020;369
21/03/2020;450
22/03/2020;514
23/03/2020;579
24/03/2020;685
25/03/2020;790
26/03/2020;893
27/03/2020;1046
28/03/2020;1155
29/03/2020;1285
30/03/2020;1414
31/03/2020;1528
01/04/2020;1677
02/04/2020;1790
03/04/2020;1986
04/04/2020;2092
05/04/2020;2273
